"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"46","1.200687","10.40.219.42","","56431","10.40.201.225","","42056","UDP","60","","","","","","37","28","","8","56431  >  42056 Len=0"
"47","1.200960","10.40.219.42","","56431","10.40.201.225","","18888","UDP","60","","","","","","47","28","","8","56431  >  18888 Len=0"
"48","1.200970","10.40.219.42","","56431","10.40.201.225","","51717","UDP","60","","","","","","50","28","","8","56431  >  51717 Len=0"
"49","1.200975","10.40.219.42","","56431","10.40.201.225","","16970","UDP","60","","","","","","44","28","","8","56431  >  16970 Len=0"
"50","1.201138","10.40.219.42","","56431","10.40.201.225","","50612","UDP","60","","","","","","53","28","","8","56431  >  50612 Len=0"
"51","2.311854","10.40.219.42","","56432","10.40.201.225","","50612","UDP","60","","","","","","44","28","","8","56432  >  50612 Len=0"
"52","2.311872","10.40.201.225","","56432","10.40.219.42","","50612","ICMP","70","","","","","3","64,44","56,28","3","8","Destination unreachable (Port unreachable)"
"53","2.312587","10.40.219.42","","56432","10.40.201.225","","16970","UDP","60","","","","","","54","28","","8","56432  >  16970 Len=0"
"54","2.312600","10.40.219.42","","56432","10.40.201.225","","51717","UDP","60","","","","","","58","28","","8","56432  >  51717 Len=0"
"55","2.313226","10.40.219.42","","56432","10.40.201.225","","18888","UDP","60","","","","","","45","28","","8","56432  >  18888 Len=0"
"56","3.426775","10.40.219.42","","56433","10.40.201.225","","18888","UDP","60","","","","","","36","28","","8","56433  >  18888 Len=0"
"57","3.426806","10.40.201.225","","56433","10.40.219.42","","18888","ICMP","70","","","","","3","64,36","56,28","3","8","Destination unreachable (Port unreachable)"
"58","3.428170","10.40.219.42","","56433","10.40.201.225","","51717","UDP","60","","","","","","56","28","","8","56433  >  51717 Len=0"
"59","3.448936","10.40.219.42","","56433","10.40.201.225","","16970","UDP","60","","","","","","37","28","","8","56433  >  16970 Len=0"
"60","4.538333","10.40.219.42","","56434","10.40.201.225","","16970","UDP","60","","","","","","39","28","","8","56434  >  16970 Len=0"
"61","4.538350","10.40.201.225","","56434","10.40.219.42","","16970","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"62","4.538613","10.40.219.42","","56434","10.40.201.225","","51717","UDP","60","","","","","","55","28","","8","56434  >  51717 Len=0"
"63","4.601707","10.40.219.42","","56432","10.40.201.225","","17091","UDP","60","","","","","","44","28","","8","56432  >  17091 Len=0"
"64","5.657208","10.40.219.42","","56433","10.40.201.225","","17091","UDP","60","","","","","","39","28","","8","56433  >  17091 Len=0"
"65","5.657225","10.40.201.225","","56433","10.40.219.42","","17091","ICMP","70","","","","","3","64,39","56,28","3","8","Destination unreachable (Port unreachable)"
"66","5.711301","10.40.219.42","","56435","10.40.201.225","","51717","UDP","60","","","","","","44","28","","8","56435  >  51717 Len=0"
"67","5.766808","10.40.219.42","","56432","10.40.201.225","","42056","UDP","60","","","","","","42","28","","8","56432  >  42056 Len=0"
"68","5.820126","10.40.219.42","","56432","10.40.201.225","","49195","UDP","60","","","","","","49","28","","8","56432  >  49195 Len=0"
"69","5.874732","10.40.219.42","","56433","10.40.201.225","","42056","UDP","60","","","","","","47","28","","8","56433  >  42056 Len=0"
