"No.","Time","Source","Source Port","Source Port","Destination","Destination Port","Destination Port","Protocol","Length","Flags","Sequence Number","Acknowledgment Number","Window","Type","Time to Live","Total Length","Code","Length","Info"
"48","0.049481","208.144.140.79","","1908","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1908  >  80 Len=1400"
"49","0.050529","226.155.165.156","","1909","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1909  >  80 Len=1400"
"50","0.051582","194.241.6.236","","1910","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1910  >  80 Len=1400"
"51","0.052633","251.145.171.221","","1911","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1911  >  80 Len=1400"
"52","0.053684","162.96.139.79","","1912","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1912  >  80 Len=1400"
"53","0.054734","117.143.7.251","","1913","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1913  >  80 Len=1400"
"54","0.055784","156.9.185.96","","1914","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1914  >  80 Len=1400"
"55","0.056838","245.25.16.52","","1915","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1915  >  80 Len=1400"
"56","0.057890","51.186.187.7","","1916","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1916  >  80 Len=1400"
"57","0.058942","45.182.232.224","","1917","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1917  >  80 Len=1400"
"58","0.059993","22.74.28.74","","1918","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1918  >  80 Len=1400"
"59","0.061043","57.224.170.134","","1919","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1919  >  80 Len=1400"
"60","0.062094","165.238.168.9","","1920","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1920  >  80 Len=1400"
"61","0.063145","146.87.25.76","","1921","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1921  >  80 Len=1400"
"62","0.064196","75.164.169.74","","1922","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1922  >  80 Len=1400"
"63","0.065247","241.156.57.121","","1923","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1923  >  80 Len=1400"
"64","0.066297","98.163.239.163","","1924","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1924  >  80 Len=1400"
"65","0.067349","25.207.57.153","","1925","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1925  >  80 Len=1400"
"66","0.068400","234.110.68.162","","1926","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1926  >  80 Len=1400"
"67","0.069454","194.106.52.107","","1927","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1927  >  80 Len=1400"
"68","0.070505","33.6.51.149","","1928","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1928  >  80 Len=1400"
"69","0.071556","251.228.10.117","","1929","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1929  >  80 Len=1400"
"70","0.072607","187.7.227.197","","1930","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1930  >  80 Len=1400"
"71","0.073657","185.33.31.25","","1931","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1931  >  80 Len=1400"
"72","0.074707","215.100.186.232","","1932","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1932  >  80 Len=1400"
"73","0.075760","63.162.135.12","","1933","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1933  >  80 Len=1400"
"74","0.076810","69.153.45.75","","1934","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1934  >  80 Len=1400"
"75","0.077876","168.227.229.6","","1935","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1935  >  80 Len=1400"
"76","0.078927","68.139.117.182","","1936","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1936  >  80 Len=1400"
"77","0.079978","69.25.107.182","","1937","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1937  >  80 Len=1400"
"78","0.081027","106.131.210.66","","1938","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1938  >  80 Len=1400"
"79","0.082081","33.22.171.117","","1939","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1939  >  80 Len=1400"
"80","0.083131","246.185.185.171","","1940","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1940  >  80 Len=1400"
"81","0.084181","153.161.171.208","","1941","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1941  >  80 Len=1400"
"82","0.085231","216.59.208.155","","1942","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1942  >  80 Len=1400"
"83","0.086283","236.239.182.75","","1943","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1943  >  80 Len=1400"
"84","0.087334","216.195.234.31","","1944","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1944  >  80 Len=1400"
"85","0.088385","246.74.25.234","","1945","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1945  >  80 Len=1400"
"86","0.089436","187.161.220.185","","1946","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1946  >  80 Len=1400"
"87","0.090487","56.224.187.69","","1947","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1947  >  80 Len=1400"
"88","0.091538","107.210.239.252","","1948","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1948  >  80 Len=1400"
"89","0.092588","31.182.210.47","","1949","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1949  >  80 Len=1400"
"90","0.093638","109.229.168.187","","1950","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1950  >  80 Len=1400"
"91","0.094692","129.187.229.79","","1951","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1951  >  80 Len=1400"
"92","0.095743","102.187.9.10","","1952","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1952  >  80 Len=1400"
"93","0.096793","45.252.143.202","","1953","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1953  >  80 Len=1400"
"94","0.097855","139.96.155.126","","1954","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1954  >  80 Len=1400"
"95","0.098908","167.117.249.70","","1955","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1955  >  80 Len=1400"
"96","0.099959","146.186.229.81","","1956","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1956  >  80 Len=1400"
"97","0.101009","87.155.49.248","","1957","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1957  >  80 Len=1400"
"98","0.102060","211.15.47.150","","1958","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1958  >  80 Len=1400"
"99","0.103109","125.126.12.210","","1959","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1959  >  80 Len=1400"
"100","0.104161","204.86.236.168","","1960","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1960  >  80 Len=1400"
"101","0.105211","211.238.79.139","","1961","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1961  >  80 Len=1400"
"102","0.106262","165.68.221.132","","1962","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1962  >  80 Len=1400"
"103","0.107317","86.83.113.109","","1963","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1963  >  80 Len=1400"
"104","0.108367","119.145.141.117","","1964","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1964  >  80 Len=1400"
"105","0.109419","115.69.204.16","","1965","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1965  >  80 Len=1400"
"106","0.110468","227.77.42.202","","1966","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1966  >  80 Len=1400"
"107","0.111519","216.213.6.187","","1967","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1967  >  80 Len=1400"
"108","0.112571","126.7.149.177","","1968","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1968  >  80 Len=1400"
"109","0.113620","139.59.207.239","","1969","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1969  >  80 Len=1400"
"110","0.114670","251.75.164.119","","1970","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1970  >  80 Len=1400"
"111","0.115721","172.21.108.6","","1971","192.168.100.50","","80","UDP","1442","","","","","","64","1428","","1408","1971  >  80 Len=1400"
